"PHYSICALID","the_geom","ST_WIDTH","SHAPE_Leng","start_lon","start_lat","end_lon","end_lat","start_ID","end_ID"
132323,"LINESTRING (-73.94717567298922 40.763265898407255, -73.94724958722507 40.763302516895685)",0,24.4384698197,-73.9471756729892,40.7632658984073,-73.9472495872251,40.7633025168957,"-73.94718 40.76327","-73.94725 40.7633"
756,"LINESTRING (-74.0082589089775 40.744673842887345, -74.00834765425657 40.744703544418606, -74.00844302914543 40.74472897699475)",44,54.8716973571,-74.0082589089775,40.7446738428873,-74.0084430291454,40.7447289769948,"-74.00826 40.74467","-74.00844 40.74473"
23368,"LINESTRING (-73.96269457607582 40.76074605243633, -73.96152208563745 40.760230359911446)",30,375.239266774,-73.9626945760758,40.7607460524363,-73.9615220856375,40.7602303599114,"-73.96269 40.76075","-73.96152 40.76023"
4357,"LINESTRING (-73.98391366493104 40.71130333244225, -73.98361462167439 40.711325640880254)",26,83.3023359537,-73.983913664931,40.7113033324422,-73.9836146216744,40.7113256408803,"-73.98391 40.7113","-73.98361 40.71133"
148650,"LINESTRING (-73.95925070110953 40.79649876201136, -73.95922638200697 40.79649552336286, -73.95920197514204 40.79649269310397, -73.95917749175496 40.796490274086565, -73.95915294441042 40.796488266147534, -73.95912834390849 40.79648667096588, -73.95910370369549 40.79648548854637, -73.95907903501237 40.7964847205682, -73.95905434998313 40.79648436653311, -73.95902966051041 40.79648442745043, -73.95900497871855 40.796484902319364, -73.95898031695138 40.79648579164685, -73.95895568733333 40.79648709426457, -73.95893110154712 40.79648881034422, -73.95890657127633 40.79649093871731, -73.95888210908633 40.79649347804816, -73.95885772644 40.79649642767082, -73.9588334356826 40.79649978574695, -73.95880924805718 40.796503550605415, -73.95878517656995 40.796507721078214, -73.95876123114222 40.79651229398601, -73.95873742500102 40.796517267658395, -73.9587137693897 40.796522639921626, -73.95869027555166 40.79652840860197, -73.95866695539294 40.79653456934821, -73.95864381927487 40.79654112048888, -73.95862087998512 40.79654805800809, -73.95859814722422 40.79655537939658, -73.95857563289843 40.796563080135556, -73.9585533480314 40.79657115704612, -73.9585313036473 40.7965796061118, -73.95850951032962 40.796588423148435, -73.95848797755947 40.79659760413895, -73.95846671746415 40.79660714372706, -73.9584457404065 40.796617038063594, -73.95842909659093 40.79662683411429, -73.95841279667239 40.796636957965454, -73.95839685035467 40.79664740241715, -73.95838126910529 40.79665815993502, -73.95836606350908 40.79666922449218, -73.95835124481405 40.79668058721395, -73.95833682272394 40.796692241068, -73.95832280606149 40.796704177848945, -73.95830920629493 40.79671638918478, -73.95829603092439 40.7967288668697, -73.95828329031579 40.79674160269884, -73.9582709930725 40.796754586959025, -73.95825914625345 40.79676781211431, -73.95824775956477 40.79678126761432, -73.95823684006568 40.79679494558803, -73.9582263956987 40.79680883565193, -73.95821643308284 40.79682292892972, -73.9582069592785 40.796837215707626, -73.95819798090542 40.79685168593667, -73.95818950370146 40.79686632990264, -73.95818153428681 40.7968811368864, -73.95817407685568 40.79689609801079, -73.95816713780835 40.7969112018865, -73.95816443565681 40.79692486256456, -73.95816226649579 40.79693857821662, -73.95816063187645 40.79695233644646, -73.95815953401123 40.796966125025556, -73.95815897202596 40.796979932394414, -73.95815894813285 40.79699374665957, -73.95815946167906 40.79700755492135, -73.95816051267161 40.797021346458145, -73.9581620995764 40.79703510753239, -73.95816422129819 40.79704882758954, -73.95816687586166 40.7970624933944, -73.95817006084941 40.79707609355437, -73.9581737738442 40.79708961650928, -73.95817801198814 40.79710305019629, -73.95818277043942 40.79711638255176, -73.95818804611939 40.79712960201528, -73.95819383330381 40.79714269752808, -73.95820012759191 40.797155656691665, -73.95820692325887 40.79716846928479, -73.95821421458089 40.797181123411086, -73.95822199583391 40.79719360767665)",0,472.176478739,-73.9592507011095,40.7964987620114,-73.9582219958339,40.7971936076766,"-73.95925 40.7965","-73.95822 40.79719"
2901,"LINESTRING (-73.94778083851676 40.830263780459234, -73.94732595299794 40.83088799495883)",40,259.939595419,-73.9477808385168,40.8302637804592,-73.9473259529979,40.8308879949588,"-73.94778 40.83026","-73.94733 40.83089"
26755,"LINESTRING (-73.93547108195284 40.84914438307406, -73.93496529247663 40.849839999219235)",42,289.503482949,-73.9354710819528,40.8491443830741,-73.9349652924766,40.8498399992192,"-73.93547 40.84914","-73.93497 40.84984"
131517,"LINESTRING (-73.93419101755205 40.81408965045258, -73.93406888335245 40.81409859818516)",30,33.9643270525,-73.9341910175521,40.8140896504526,-73.9340688833525,40.8140985981852,"-73.93419 40.81409","-73.93407 40.8141"
579,"LINESTRING (-74.01118994205468 40.70627872751817, -74.01187330308358 40.706551406418924)",12,213.930634714,-74.0111899420547,40.7062787275182,-74.0118733030836,40.7065514064189,"-74.01119 40.70628","-74.01187 40.70655"
67011,"LINESTRING (-73.9538432951848 40.801249906416864, -73.95393382546223 40.801288587257574, -73.95400505145118 40.80131895930336)",42,51.3666324414,-73.9538432951848,40.8012499064169,-73.9540050514512,40.8013189593034,"-73.95384 40.80125","-73.95401 40.80132"
