"","LON","LAT"
"1",-73.95,40.79
"2",-73.95,40.79
"3",-73.96,40.77
"4",-74,40.73
"5",-73.95,40.8
"6",-73.97,40.77
"7",-73.97,40.77
"8",-73.98,40.75
"9",-73.96,40.79
"10",-73.97,40.77
"11",-73.96,40.8
"12",-73.16,40.7
"13",-73.97,40.77
"14",-73.97,40.78
"15",-73.98,40.76
"16",-73.98,40.75
"17",-73.94,40.78
"18",-73.96,40.78
"19",-74,40.71
"20",-73.87,40.73
"21",-74,40.73
"22",-73.99,40.750779
"23",-73.99,40.74
"24",-73.98,40.663471
"25",-73.98,40.672997
"26",-73.99,40.74
"27",-74.01,40.75
"28",-74.01,40.7
"29",-74,40.74
"30",-74.01,40.72
"31",-74,40.72
"32",-74.002225,40.72
"33",-74,40.72
"34",-73.97,40.76
"35",-74.01,40.74
"36",-73.98,40.758878
"37",-74.01,40.702622
"38",-74.01,40.706687
"39",-74.01,40.707632
"40",-73.93,40.85
"41",-73.68,40.71
"42",-74,40.72
"43",-73.99,40.75
"44",-73.99,40.76
"45",-73.99,40.75
"46",-73.98,40.77
"47",-73.97,40.66
"48",-73.94,40.68
"49",-73.97,40.68
"50",-73.98,40.76
"51",-73.99,40.71
"52",-73.99,40.71
"53",-74,40.71
"54",-74.22,40.52
"55",-73.95,40.76
"56",-74.03,40.73
"57",-74.01,40.71
"58",-74.16,40.55
"59",-73.99,40.58
"60",-73.98,40.58
"61",-73.95,40.58
"62",-74.02,40.7
"63",-74.02,40.7
"64",-74.01,40.75
"65",-73.99,40.74
"66",-73.97,40.77
"67",-74,40.76
"68",-73.98,40.77
"69",-73.88,40.83
"70",-73.83,40.95
"71",-73.9,40.82
"72",-73.85,40.87
"73",-73.9,40.88
"74",-73.9,40.83
"75",-73.89,40.85
"76",-73.88,40.87
"77",-73.83,40.84
"78",-73.91,40.82
"79",-73.85,40.82
"80",-73.92,40.86
"81",-73.89,40.86
"82",-73.91,40.84
"83",-73.83,40.85
"84",-73.9,40.84
"85",-73.9,40.84
"86",-73.9,40.84
"87",-73.89,40.84
"88",-73.9,40.86
"89",-73.9,40.83
"90",-73.85,40.87
"91",-73.91,40.82
"92",-73.93,40.82
"93",-73.91,40.82
"94",-73.87,40.87
"95",-73.84,40.87
"96",-73.89,40.88
"97",-73.85,40.83
"98",-73.92,40.88
"99",-73.9,40.82
"100",-73.89,40.81
"101",-73.89,40.82
"102",-73.85,40.85
"103",-73.93,40.81
"104",-73.93,40.83
"105",-73.87,40.87
"106",-73.89,40.85
"107",-73.91,40.88
"108",-73.86,40.86
"109",-73.92,40.8
"110",-73.88,40.87
"111",-73.91,40.83
"112",-73.92,40.83
"113",-73.93,40.83
"114",-73.87,40.84
"115",-73.8,40.86
"116",-73.84,40.84
"117",-73.85,40.82
"118",-73.87,40.87
"119",-73.82,40.85
"120",-73.79,40.87
"121",-73.83,40.85
"122",-73.82,40.85
"123",-73.89,40.85
"124",-73.94,40.77
"125",-73.85,40.82
"126",-73.9,40.83
"127",-73.9,40.85
"128",-73.86,40.89
"129",-73.91,40.87
"130",-73.92,40.89
"131",-73.9,40.86
"132",-73.86,40.82
"133",-73.91,40.87
"134",-73.84,40.89
"135",-73.89,40.82
"136",-73.9,40.85
"137",-73.88,40.84
"138",-73.9,40.9
"139",-73.86,40.83
"140",-73.85,40.9
"141",-73.87,40.83
"142",-73.89,40.86
"143",-73.87,40.87
"144",-73.94,40.81
"145",-73.95,40.82
"146",-73.92,40.82
"147",-73.94,40.81
"148",-73.98,40.74
"149",-73.94,40.84
"150",-73.98,40.74
"151",-73.95,40.79
"152",-73.94,40.85
"153",-73.97,40.8
"154",-73.94,40.78
"155",-73.94,40.83
"156",-74,40.75
"157",-74,40.75
"158",-73.95,40.79
"159",-73.94,40.82
"160",-74,40.72
"161",-73.99,40.77
"162",-74,40.73
"163",-73.98,40.73
"164",-73.92,40.87
"165",-73.97,40.72
"166",-73.97,40.72
"167",-73.97,40.72
"168",-73.94,40.79
"169",-73.93,40.86
"170",-73.93,40.86
"171",-73.93,40.86
"172",-73.95,40.84
"173",-73.97,40.8
"174",-73.94,40.82
"175",-73.94,40.82
"176",-74.1,40.59
"177",-73.98,40.72
"178",-73.94,40.81
"179",-73.97,40.8
"180",-73.93,40.84
"181",-73.93,40.84
"182",-73.93,40.85
"183",-73.94,40.83
"184",-73.94,40.81
"185",-73.93,40.87
"186",-73.92,40.87
"187",-73.92,40.87
"188",-73.94,40.85
"189",-73.94,40.82
"190",-73.94,40.83
"191",-73.94,40.82
"192",-73.95,40.77
"193",-74.01,40.73
"194",-73.99,40.71
"195",-73.94,40.81
"196",-73.94,40.81
"197",-73.95,40.7
"198",-73.98,40.76
"199",-73.99,40.76
"200",-73.99,40.72
"201",-73.96,40.81
"202",-73.96,40.81
"203",-73.96,40.81
"204",-73.92,40.86
"205",-73.94,40.83
"206",-73.88,40.7
"207",-73.95,40.79
"208",-73.94,40.8
"209",-73.94,40.82
"210",-73.97,40.75
"211",-73.95,40.81
"212",-73.95,40.82
"213",-73.95,40.82
"214",-73.97,40.74
"215",-73.94,40.78
"216",-73.98,40.78
"217",-73.99,40.74
"218",-74,40.73
"219",-73.93,40.8
"220",-73.99,40.77
"221",-73.92,40.68
"222",-73.96,40.72
"223",-73.94,40.7
"224",-73.99,40.7
"225",-73.97,40.58
"226",-73.91,40.67
"227",-73.87,40.68
"228",-73.97,40.57
"229",-73.98,40.57
"230",-73.87,40.67
"231",-74,40.68
"232",-73.89,40.67
"233",-73.99,40.71
"234",-74.01,40.61
"235",-73.97,40.69
"236",-73.89,40.66
"237",-73.93,40.7
"238",-73.92,40.63
"239",-73.93,40.68
"240",-73.95,40.6
"241",-74,40.61
"242",-73.98,40.65
"243",-73.95,40.69
"244",-73.98,40.77
"245",-73.95,40.69
"246",-73.94,40.6
"247",-73.33,40.86
"248",-73.96,40.67
"249",-73.93,40.69
"250",-74.03,40.61
"251",-74,40.58
"252",-73.92,40.66
"253",-73.93,40.67
"254",-73.91,40.61
"255",-73.92,40.7
"256",-73.92,40.6
"257",-73.91,40.68
"258",-73.94,40.71
"259",-73.95,40.72
"260",-73.99,40.7
"261",-73.96,40.6
"262",-73.96,40.71
"263",-73.97,40.67
"264",-73.9,40.66
"265",-73.95,40.62
"266",-73.91,40.67
"267",-73.97,40.69
