"node_id","segment_id","longtitude","latitude"
"756_1",756,-74.0082589089775,40.7446738428873
"756_2",756,-74.0083476542566,40.7447035444186
"756_3",756,-74.0084430291454,40.7447289769948
"23368_1",23368,-73.9626945760758,40.7607460524363
"23368_2",23368,-73.9615220856375,40.7602303599114
"4357_1",4357,-73.983913664931,40.7113033324422
"4357_2",4357,-73.9836146216744,40.7113256408803
"148650_1",148650,-73.9592507011095,40.7964987620114
"148650_2",148650,-73.959226382007,40.7964955233629
"148650_3",148650,-73.959201975142,40.796492693104
"148650_4",148650,-73.959177491755,40.7964902740866
"148650_5",148650,-73.9591529444104,40.7964882661475
"148650_6",148650,-73.9591283439085,40.7964866709659
"148650_7",148650,-73.9591037036955,40.7964854885464
"148650_8",148650,-73.9590790350124,40.7964847205682
"148650_9",148650,-73.9590543499831,40.7964843665331
"148650_10",148650,-73.9590296605104,40.7964844274504
"148650_11",148650,-73.9590049787186,40.7964849023194
"148650_12",148650,-73.9589803169514,40.7964857916469
"148650_13",148650,-73.9589556873333,40.7964870942646
"148650_14",148650,-73.9589311015471,40.7964888103442
"148650_15",148650,-73.9589065712763,40.7964909387173
"148650_16",148650,-73.9588821090863,40.7964934780482
"148650_17",148650,-73.95885772644,40.7964964276708
"148650_18",148650,-73.9588334356826,40.796499785747
"148650_19",148650,-73.9588092480572,40.7965035506054
"148650_20",148650,-73.9587851765699,40.7965077210782
"148650_21",148650,-73.9587612311422,40.796512293986
"148650_22",148650,-73.958737425001,40.7965172676584
"148650_23",148650,-73.9587137693897,40.7965226399216
"148650_24",148650,-73.9586902755517,40.796528408602
"148650_25",148650,-73.9586669553929,40.7965345693482
"148650_26",148650,-73.9586438192749,40.7965411204889
"148650_27",148650,-73.9586208799851,40.7965480580081
"148650_28",148650,-73.9585981472242,40.7965553793966
"148650_29",148650,-73.9585756328984,40.7965630801356
"148650_30",148650,-73.9585533480314,40.7965711570461
"148650_31",148650,-73.9585313036473,40.7965796061118
"148650_32",148650,-73.9585095103296,40.7965884231484
"148650_33",148650,-73.9584879775595,40.796597604139
"148650_34",148650,-73.9584667174641,40.7966071437271
"148650_35",148650,-73.9584457404065,40.7966170380636
"148650_36",148650,-73.9584290965909,40.7966268341143
"148650_37",148650,-73.9584127966724,40.7966369579655
"148650_38",148650,-73.9583968503547,40.7966474024172
"148650_39",148650,-73.9583812691053,40.796658159935
"148650_40",148650,-73.9583660635091,40.7966692244922
"148650_41",148650,-73.9583512448141,40.7966805872139
"148650_42",148650,-73.9583368227239,40.796692241068
"148650_43",148650,-73.9583228060615,40.7967041778489
"148650_44",148650,-73.9583092062949,40.7967163891848
"148650_45",148650,-73.9582960309244,40.7967288668697
"148650_46",148650,-73.9582832903158,40.7967416026988
"148650_47",148650,-73.9582709930725,40.796754586959
"148650_48",148650,-73.9582591462535,40.7967678121143
"148650_49",148650,-73.9582477595648,40.7967812676143
"148650_50",148650,-73.9582368400657,40.796794945588
"148650_51",148650,-73.9582263956987,40.7968088356519
"148650_52",148650,-73.9582164330828,40.7968229289297
"148650_53",148650,-73.9582069592785,40.7968372157076
"148650_54",148650,-73.9581979809054,40.7968516859367
"148650_55",148650,-73.9581895037015,40.7968663299026
"148650_56",148650,-73.9581815342868,40.7968811368864
"148650_57",148650,-73.9581740768557,40.7968960980108
"148650_58",148650,-73.9581671378083,40.7969112018865
"148650_59",148650,-73.9581644356568,40.7969248625646
"148650_60",148650,-73.9581622664958,40.7969385782166
"148650_61",148650,-73.9581606318765,40.7969523364465
"148650_62",148650,-73.9581595340112,40.7969661250256
"148650_63",148650,-73.958158972026,40.7969799323944
"148650_64",148650,-73.9581589481328,40.7969937466596
"148650_65",148650,-73.9581594616791,40.7970075549214
"148650_66",148650,-73.9581605126716,40.7970213464581
"148650_67",148650,-73.9581620995764,40.7970351075324
"148650_68",148650,-73.9581642212982,40.7970488275895
"148650_69",148650,-73.9581668758617,40.7970624933944
"148650_70",148650,-73.9581700608494,40.7970760935544
"148650_71",148650,-73.9581737738442,40.7970896165093
"148650_72",148650,-73.9581780119881,40.7971030501963
"148650_73",148650,-73.9581827704394,40.7971163825518
"148650_74",148650,-73.9581880461194,40.7971296020153
"148650_75",148650,-73.9581938333038,40.7971426975281
"148650_76",148650,-73.9582001275919,40.7971556566917
