"","lon","lat","LINE"
"1","-73.99027199929638","40.686728331297715","F-G"
"2","-73.9906780008789","40.69372533216928","2-3-4-5-N-R"
"3","-73.99059199905471","40.693642331621014","2-3-4-5-N-R"
"4","-73.99253735666481","40.69439311951264","2-3-4-5-N-R"
"5","-73.96224891505983","40.66272735822238","B-Q-S"
"6","-73.983394168523","40.67716435313647","D-N-R"
"7","-73.98308231239687","40.67705163581421","D-N-R"
"8","-73.98298999681003","40.67719509056718","D-N-R"
"9","-73.9752089996586","40.680699332136946","2-3-4"
"10","-73.98621464349429","40.69204411365131","N-R"
"11","-73.98611377104055","40.6922584160693","N-R"
"12","-73.98527100196489","40.69044933281501","2-3"
"13","-73.9852550009138","40.69089533430105","2-3"
"14","-73.98455099823623","40.69044233310529","2-3"
"15","-73.98434700115578","40.69040733460593","2-3"
"16","-73.98536143700538","40.692095601967445","N-R"
"17","-73.98519673719659","40.69223493884094","N-R"
"18","-73.98215994526204","40.69150880161958","B-D-N-Q-R"
"19","-73.97887100025946","40.683925333020454","2-3-4-5-B-D-N-Q-R"
"20","-73.97774737202991","40.68515511399471","2-3-4-5-B-D-N-Q-R"
"21","-73.98619067591699","40.69235659549948","N-R"
"22","-73.9943927504754","40.68111653102947","F-G"
"23","-73.96437533493416","40.67187792248519","2-3-4"
"24","-73.96415217753747","40.672136406270376","2-3-4"
"25","-73.95788689838822","40.67034264927402","2-3-4-5-S"
"26","-73.95764559593519","40.670741030717416","2-3-4-5-S"
"27","-73.95569777997811","40.681034916213164","A-C-S"
"28","-73.9577203183142","40.670926625235474","2-3-4-5-S"
"29","-73.98665300003906","40.70132133411788","F"
"30","-73.98827785776714","40.718753074032335","F-J-M-Z"
"31","-73.98136070401206","40.68986468780064","B-D-N-Q-R"
"32","-73.81401044668934","40.58772910999135","A-S"
"33","-73.98891297872152","40.69916149839492","A-C"
"34","-73.98827070476256","40.699258549662","A-C"
"35","-73.99060228644079","40.69260441214509","2-3-4-5-N-R"
"36","-73.81182900070576","40.705340333636265","F"
"37","-73.96278299962148","40.635042334687114","B-Q"
"38","-73.92764099903127","40.75221933259898","E-M-R"
"39","-73.99461199971715","40.63637533348671","D"
"40","-74.00822400016119","40.712612332084895","2-3-A-C-E"
"41","-73.96711601759309","40.68367743863933","A-C"
"42","-73.97577719571558","40.624564197747674","F"
"43","-73.81629903408636","40.70097087901288","E"
"44","-73.89071415330048","40.74655506070698","7-E-F-M-R"
"45","-73.92966699808947","40.693672332740476","J"
"46","-73.9835669980853","40.760297332699835","N-Q-R"
"47","-73.99065000102587","40.75028333388322","1-2-3"
"48","-73.99112999976678","40.74965633338882","1-2-3"
"49","-73.9505447051535","40.70547143940723","G"
"50","-74.00842799968676","40.710692334472014","2-3-4-5-A-C-J-Z"
"51","-73.99085399865109","40.75031333412546","1-2-3"
"52","-73.85243999690633","40.693432332520246","J-Z"
"53","-73.91931400054645","40.80776733502132","6"
"54","-73.97603746586208","40.62614515290905","F"
"55","-73.9792400001875","40.64271533364951","F"
"56","-73.97614600085106","40.76042233409885","E-M"
"57","-73.94135896287963","40.67977789566103","A-C"
"58","-73.99313799889386","40.747036333741406","1-2"
"59","-74.23900680299468","40.51783269375978","@"
"60","-74.07671914943002","40.644724879567114","@"
"61","-73.95800999849698","40.70858933343752","J-M-Z"
"62","-74.00374700179144","40.72558333510693","A-C-E"
"63","-73.90748099965755","40.702836332058396","M"
"64","-73.88382899762436","40.7478173341866","7"
"65","-74.00887881856795","40.706799954226035","2-3"
"66","-73.89623400091776","40.81655333231423","6"
"67","-73.9516544032217","40.69002502607883","G"
"68","-73.97291800122915","40.78089533239274","A-C-B"
"69","-73.92726600010874","40.86575833317052","A"
"70","-73.85601699973276","40.75169833203271","7"
"71","-74.00161700000605","40.71947133251513","4-6-6 Express-J-Z-N-Q-R"
"72","-73.96204895809426","40.660858701956336","B-Q-S"
"73","-73.98281500076227","40.76645233247671","1-2-A-C-B-D"
"74","-73.91127400072213","40.6831813329831","J-Z"
"75","-73.96709508186282","40.683388589799904","A-C"
"76","-73.93797900019608","40.7491433321309","E-M-R"
"77","-73.91063400075645","40.67805433491974","A-C"
"78","-74.00409900180482","40.712699334587555","4-5-6-6 Express-J-Z"
"79","-73.95059200078252","40.72371533223874","G"
"80","-73.9601495342233","40.688763233306815","G"
"81","-73.942132000631","40.75406933235433","F"
