,indicator,NAME,ADDRESS,OPEN_YEAR_ROUND,HANDICAP_ACCESSIBLE,LAT,LNG,LAT1,LNG1
1,1,Robert Bendheim Playground,E. 100th St. at 5th Avenue,Yes,No,40.7902926,-73.9544024,48.8632856,-99.622883
2,1,Conservatory Garden,105 Street at 5th Avenue,Yes,Yes,40.7937661,-73.9524574,40.7936129,-73.9515972
3,1,Model Boathouse (Kerbs) Cafe at Conservatory Water,E. 74th near 5th Avenue,Yes,Yes,40.7697512,-73.9605925,29.9368369,30.9217914
4,1,Washington Square Park,Washington Sq South & Thompson St.,Yes,No,40.730831,-73.997343,42.7312423,-84.5522893
5,1,Lasker Skating Rink,"106th, Mid~Park",Yes,No,40.79612,-73.954884,NA,NA
6,2,Merchants Gate,W. 61st and Central Park West,Yes,No,43.4333332,-79.7398639,40.7692978,-73.9810471
7,2,North Meadow Recreation Center,"97th Street Transverse Road, Central Park",Yes,Yes,40.2027199,-85.4116236,40.7904585,-73.9597062
8,1,Bethesda Terrace,72nd Street Mid~Park,Yes,No,40.773851,-73.970849,NA,NA
9,1,Central Park Zoo,E. 64th near 5th,Yes,No,40.767803,-73.971837,35.537612,-97.5745286
10,2,Dana Discovery Center,110th Street at Lenox Avenue,Yes,No,NA,NA,40.7982157,-73.9523666
11,1,Bryant Park,42nd St. between 5th and 6th Avenue,Yes,No,40.753613,-73.98319,29.9069377,30.9042268
12,1,Tennis House,94th Street Mid~Park,Yes,No,40.789889,-73.961839,NA,NA
13,2,Ramble Shed,79th Street Mid~Park,Yes,No,32.5426176,-93.6785311,40.7100991,-73.8736068
14,1,The Arsenal,E. 64th St. at 5th Avenue,Yes,No,40.767644,-73.97126,NA,NA
15,1,Great Hill,W. 106th St.,Yes,No,40.797011,-73.958974,NA,NA
16,1,Heckscher House,"Heckscher Playground, 62nd St. Mid~Park",Yes,No,40.699645,-73.156632,NA,NA
17,1,Wollman Skating Rink,E. 63rd near East Drive,Yes,No,40.767767,-73.974498,NA,NA
18,1,Delacorte Theatre,W. 81st at Turtle Pond,Yes,Yes,40.78029,-73.968843,NA,NA
19,1,Rockfeller Center Lower Floor,49st St. between 5th and 6th Aves.,Yes,No,40.758871,-73.978656,NA,NA
20,1,Grand Central Station Public Restroom,Near 42nd St and Park Ave,Yes,Yes,40.752926,-73.977207,40.7752549,-74.020156
21,1,Carl Schurz Park,87th Street and East End Avenue,Yes,No,40.7751302,-73.9436973,40.7756171,-73.9442821
22,2,Tavern on the Green,W. 66th St and Central Park West,Yes,No,51.1273063,-0.1552554,40.7724388,-73.978741
23,2,SAKS Fifth Avenue,611 Fifth Avenue,Yes,No,33.7273312,-85.7915635,40.758045,-73.9769745
24,2,Barneys New York,660 Madison Ave.,Yes,No,NA,NA,42.6569096,-73.7755431
25,2,Old Navy,503~511 Broadway,Yes,No,43.8679298,-91.2031002,40.7224829,-73.9995839
26,1,Ancient Playground,E. 85 St. off 5th Avenue.,Yes,No,40.7807557,-73.9616122,40.7372973,-73.9921861
27,1,South Street Seaport Mall,19 Fulton St.,Yes,No,40.706995,-74.004355,37.7797643,-122.4153467
28,2,"World Financial Center, Winter Garden",West St.,Yes,No,28.5652787,-81.5861847,40.7222399,-74.0118717
29,1,Long Island Railroad,Penn Station,Yes,Yes,40.730542,-73.869241,NA,NA
30,1,Washington Square Park Bathrooms,"Washington Square Park , West 4th St. and Sullivan St.",Yes,Yes,40.730329,-73.998058,NA,NA
31,1,Penn Station Public Restroom,Penn Station,Yes,Yes,"40.750779,",-73.993476,NA,NA
32,1,Public Restroom,Madison Sq Park,Yes,Yes,40.742029,-73.98751,NA,NA
33,1,Prospect Park Bandshell,ninth street playground ~ bandshell building,Yes,Yes,"40.663471,",-73.976615,NA,NA
34,1,Old Stone House in JJ Byrne park,336 3rd St between 3d and 4th streets in the park,Yes,Yes,"40.672997,",-73.984577,34.2525642,-85.1692598
35,1,Bed Bath and Beyond,620 6th Ave.,Yes,No,40.740114,-73.994428,39.725618,-104.9796887
36,1,Bodum,413 W 14th St,Yes,No,40.751527,-74.006399,41.506081,-87.660127
37,1,McDonalds,6 Water St.,Yes,No,40.70317,-74.012241,NA,NA
38,1,Old Navy,610 Avenue of the Americas,Yes,No,40.738825,-73.996357,NA,NA
39,2,St Vincents Hospital,800 Castleton Avenue,Yes,Yes,33.50702,-86.78764,40.634491,-74.1092251
40,2,St Vincents Emergency Room Area,900 castleton avenue,Yes,Yes,NA,NA,40.6347424,-74.1122795
41,2,Shoprite 2344,2344 Richmond Avenue ~ Forest Avenue,Yes,Yes,0.3276086,32.6075211,40.6276019,-74.1678203
42,1,Tribeca Bagels,374 Canal Street,Yes,No,40.7162692,-74.0086323,29.9507988,-90.0658676
43,1,Pearl Paint,308 Canal Street,Yes,No,40.719664,-74.002683,29.9506042,-90.0655654
44,1,Sbarro Pizza and Pasta,298 Canal Street,Yes,No,40.719826,",-74.002225",29.9505752,-90.0655196
45,1,Kings Leather,267 Canal Street,Yes,No,40.719151,-74.00101,29.9505876,-90.0650254
46,2,Starbucks Coffee,405 Broadway,Yes,No,51.4816036,-0.0093395,40.718977,-74.002641
47,2,Teariffic,51 Mott Street,Yes,No,NA,NA,40.7154702,-73.9987687
48,2,Burger King,273 Canal Street,Yes,No,38.070376,27.411275,40.719335,-74.001218
49,2,Mc Donalds,260 Canal Street,Yes,No,29.6904256,-100.0320273,40.718687,-74.001022
50,1,Citicorp Center,153 East 53rd St,Yes,No,40.758516,-73.969858,41.5744546,-90.5713507
